NCM;DESCRICAO
29391110;Concentrados de palha de dormideira ou papoula
2939112;"Buprenorfina, code na e di-hidrocode na; sais destes produtos"
29391121;Buprenorfina e seus sais
29391122;Code na e seus sais
29391123;Di-hidrocode na e seus sais
2939113;"Etilmorfina e etorfina; sais destes produtos"
29391131;Etilmorfina e seus sais
29391132;Etorfina e seus sais
29391140;Folcodina e seus sais
2939115;"Hero na, hidrocodona e hidromorfona; sais destes produtos"
29391151;Hero na e seus sais
29391152;Hidrocodona e seus sais
29391153;Hidromorfona e seus sais
2939116;Morfina e seus sais
29391161;Morfina
29391162;Cloridrato e sulfato de morfina
29391169;Outros
29391170;Nicomorfina e seus sais
2939118;"Oxicodona e oximorfona; sais destes produtos"
29391181;Oxicodona e seus sais
29391182;Oximorfona e seus sais
2939119;"Tebacona e teba na; sais destes produtos"
29391191;Tebacona e seus sais
29391192;Teba na e seus sais
29391900;-- Outros
29392000;"- Alcaloides da quina e seus derivados; sais destes produtos"
293930;- Cafe na e seus sais
29393010;Cafe na
29393020;Sais
29394;"- Alcaloides da  fedra e seus derivados; sais destes produtos:"
29394100;-- Efedrina e seus sais
29394200;-- Pseudoefedrina (DCI) e seus sais
29394300;-- Catina (DCI) e seus sais
29394400;-- Norefedrina e seus sais
293945;-- Levometanfetamina, metanfetamina (DCI), racemato de metanfetamina e seus sais
29394510;Levometanfetamina e seus sais
29394520;Metanfetamina e seus sais
29394530;Racemato de metanfetamina e seus sais
29394900;-- Outros
29395;"- Teofilina e aminofilina (teofilina-etilenodiamina) e seus derivados; sais destes produtos:"
29395100;-- Fenetilina (DCI) e seus sais
293959;-- Outros
29395910;Teofilina
29395920;Aminofilina
29395990;Outros
29396;"- Alcaloides da cravagem do centeio (centeio-espigado) e seus derivados; sais destes produtos:"
29396100;-- Ergometrina (DCI) e seus sais
29396200;-- Ergotamina (DCI) e seus sais
29396300;--  cido lis rgico e seus sais
293969;-- Outros
2939691;Derivados da ergometrina e seus sais
29396911;Maleato de metilergometrina
29396919;Outros
2939692;Derivados da ergotamina e seus sais
29396921;Mesilato de di-hidroergotamina
29396929;Outros
2939693;"Ergocornina e seus derivados; sais destes produtos"
29396931;Mesilato de di-hidroergocornina
29396939;Outros
2939694;"Ergocriptina e seus derivados; sais destes produtos"
29396941;Mesilato de alfa-di-hidroergocriptina
29396942;Mesilato de beta-di-hidroergocriptina
29396949;Outros
2939695;"Ergocristina e seus derivados; sais destes produtos"
29396951;Ergocristina
29396952;Metanossulfonato de di-hidroergocristina
29396959;Outros
29396990;Outros
29397;- Outros, de origem vegetal:
293972;"-- Coca na, ecgonina; sais,  steres e outros derivados destes produtos"
29397210;Coca na e seus sais
29397220;Ecgonina e seus sais
29397290;Outros
293979;-- Outros
2939791;"Escopolamina e seus derivados; sais destes produtos"
29397911;Brometo de N-butilescopolam nio
29397919;Outros
29397920;"Teobromina e seus derivados; sais destes produtos"
2939793;Pilocarpina e seus sais
29397931;Pilocarpina, seu nitrato e seu cloridrato
29397939;Outros
29397940;Tiocolquic sido
29397990;Outros
293980;- Outros
29398010;Saxitoxina
29398090;Outros
294000;"A  cares quimicamente puros, exceto sacarose, lactose, maltose, glicose e frutose (levulose);  teres, acetais e  steres de a  cares, e seus sais, exceto os produtos das posi  es 29.37, 29.38 ou 29.39."
2940001;A  cares quimicamente puros
29400011;Galactose
29400012;Arabinose
29400013;Ramnose
29400019;Outros
2940002;"cido lactobi nico, seus sais e seus  steres; derivados halogenados, sulfonados, nitrados ou nitrosados destes produtos"
29400021;cido lactobi nico
29400022;Lactobionato de c lcio
29400023;Bromolactobionato de c lcio
29400029;Outros
2940009;Outros
29400092;Frutose-1,6-difosfato de c lcio ou de s dio
29400093;Maltitol
29400094;Lactogluconato de c lcio
29400099;Outros
2941;Antibi ticos.
294110;"- Penicilinas e seus derivados, com a estrutura do  cido penicil nico; sais destes produtos"
29411010;Ampicilina e seus sais
29411020;Amoxicilina e seus sais
2941103;"Penicilina V e seus derivados; sais destes produtos"
29411031;Penicilina V pot ssica
29411039;Outros
2941104;"Penicilina G e seus derivados; sais destes produtos"
29411041;Penicilina G pot ssica
29411042;Penicilina G benzat nica
29411043;Penicilina G proca nica
29411049;Outros
29411090;Outros
294120;"- Estreptomicinas e seus derivados; sais destes produtos"
29412010;Sulfatos
29412090;Outros
294130;"- Tetraciclinas e seus derivados; sais destes produtos"
29413010;Cloridrato de tetraciclina
29413020;Oxitetraciclina
2941303;Minociclina e seus sais
29413031;Minociclina
29413032;Sais
29413090;Outros
294140;"- Cloranfenicol e seus derivados; sais destes produtos"
2941401;Cloranfenicol e seus  steres
29414011;Cloranfenicol, seu palmitato, seu succinato e seu hemissuccinato
29414019;Outros
29414020;Tianfenicol e seus  steres
29414090;Outros
294150;"- Eritromicina e seus derivados; sais destes produtos"
29415010;Claritromicina
29415020;Eritromicina e seus sais
29415090;Outros
294190;- Outros
2941901;"Rifamicinas e seus derivados; sais destes produtos"
29419011;Rifamicina S
29419012;Rifampicina (rifamicina AMP)
29419013;Rifamicina SV s dica
29419019;Outros
2941902;"Lincomicina e seus derivados; sais destes produtos"
29419021;Cloridrato de lincomicina
29419022;Fosfato de clindamicina
29419029;Outros
2941903;"Cefalosporinas e cefamicinas, e seus derivados; sais destes produtos"
29419031;Ceftriaxona e seus sais
29419032;Cefoperazona e seus sais, cefazolina s dica
29419033;Cefaclor e cefalexina monoidratados, cefalotina s dica
29419034;Cefadroxil e seus sais
29419035;Cefotaxima s dica
29419036;Cefoxitina e seus sais
29419037;Cefalosporina C
29419039;Outros
2941904;Aminoglucos dios e seus sais
29419041;Sulfato de neomicina
29419042;Embonato de gentamicina (pamoato de gentamicina)
29419043;Sulfato de gentamicina
29419049;Outros
2941905;Macrol dios e seus sais
29419051;Embonato de espiramicina (pamoato de espiramicina)
29419059;Outros
2941906;Polienos e seus sais
29419061;Nistatina e seus sais
29419062;Anfotericina B e seus sais
29419069;Outros
2941907;Poli teres e seus sais
29419071;Monensina s dica
29419072;Narasina
29419073;Avilamicinas
29419079;Outros
2941908;Polipept dios e seus sais
29419081;Polimixinas e seus sais, exceto sulfato de colistina
29419082;Sulfato de colistina
29419083;Virginiamicinas e seus sais
29419089;Outros
2941909;Outros
29419091;Griseofulvina e seus sais
29419092;Fumarato de tiamulina
29419099;Outros
29420000;Outros compostos org nicos.
30;Produtos farmac uticos.
3001;"Gl ndulas e outros  rg os para usos opoter picos, dessecados, mesmo em p ; extratos de gl ndulas ou de outros  rg os ou das suas secre  es, para usos opoter picos; heparina e seus sais; outras subst ncias humanas ou animais preparadas para fins terap uticos ou profil ticos, n o especificadas nem compreendidas noutras posi  es."
300120;- Extratos de gl ndulas ou de outros  rg os ou das suas secre  es
30012010;De f gado
30012090;Outros
300190;- Outros
30019010;Heparina e seus sais
30019020;Peda os de peric rdio de origem bovina ou su na
3001903;Gl ndulas e outros  rg os, dessecados, mesmo em p
30019031;F gados
30019039;Outros
30019090;Outros
3002;"Sangue humano; sangue animal preparado para usos terap uticos, profil ticos ou de diagn stico; antissoros, outras fra  es do sangue e produtos imunol gicos, mesmo modificados ou obtidos por via biotecnol gica; vacinas, toxinas, culturas de microrganismos (exceto leveduras) e produtos semelhantes; culturas de c lulas, mesmo modificadas."
30021;- Antissoros, outras fra  es do sangue e produtos imunol gicos, mesmo modificados ou obtidos por via biotecnol gica:
300212;-- Antissoros e outras fra  es do sangue
3002121;Antissoros espec ficos de animais ou de pessoas imunizados
30021211;Antiof dicos e outros antivenenosos
30021212;Antitet nico
30021213;Anticatarral
30021214;Antipiog nico
30021215;Antidift rico
30021216;Polivalentes
30021219;Outros
3002122;Outras fra  es do sangue, exceto as preparadas como medicamentos
30021221;Imunoglobulina anti-Rh
30021222;Outras imunoglobulinas s ricas
30021223;Concentrado de fator VIII
30021224;Soroalbumina, sob a forma de gel, para prepara  o de reagentes de diagn stico
30021229;Outros
3002123;Outras fra  es do sangue, preparadas como medicamentos
30021231;Soroalbumina, exceto a humana
30021232;Plasmina (fibrinolisina)
30021233;Uroquinase
30021234;Imunoglobulina e cloridrato de histamina, associados
30021235;Imunoglobulina G, liofilizada ou em solu  o
30021236;Soroalbumina humana
30021239;Outros
30021300;-- Produtos imunol gicos, n o misturados, n o apresentados em doses nem acondicionados para venda a retalho
30021400;-- Produtos imunol gicos, misturados, n o apresentados em doses nem acondicionados para venda a retalho
300215;-- Produtos imunol gicos, apresentados em doses ou acondicionados para venda a retalho
30021510;"betainterferona; alfapeginterferona 2a"
30021520;"Basiliximab (DCI); bevacizumab (DCI); daclizumab (DCI); etanercept (DCI); gemtuzumab ozogamicin (DCI); oprelvekin (DCI); rituximab (DCI); trastuzumab (DCI)"
30021590;Outros
30024;- Vacinas, toxinas, culturas de microrganismos (exceto leveduras) e produtos semelhantes:
300241;-- Vacinas para medicina humana
3002411;N o apresentadas em doses, nem acondicionadas para venda a retalho
30024111;Contra a gripe
30024112;Contra a poliomielite
30024113;Contra a hepatite B
30024114;Contra o sarampo
30024115;Contra a meningite
30024116;Contra a rub ola, sarampo e caxumba (tr plice)
30024117;Outras tr plices
30024118;Anticatarral e antipiog nico
30024119;Outras
3002412;Apresentadas em doses ou acondicionadas para venda a retalho
30024121;Contra a gripe
30024122;Contra a poliomielite
30024123;Contra a hepatite B
30024124;Contra o sarampo
30024125;Contra a meningite
30024126;Contra a rub ola, sarampo e caxumba (tr plice)
30024127;Outras tr plices
30024128;Anticatarral e antipiog nico
30024129;Outras
300242;-- Vacinas para medicina veterin ria
30024210;Contra a raiva
30024220;Contra a coccidiose
30024230;Contra a querato-conjuntivite
30024240;Contra a cinomose
30024250;Contra a leptospirose
30024260;Contra a febre aftosa
30024270;"Contra as seguintes enfermidades: de Newcastle, a v rus vivo ou v rus inativo; de Gumboro, a v rus vivo ou v rus inativo; bronquite, a v rus vivo ou v rus inativo; difteroviruela, a v rus vivo; s ndrome de queda de postura (EDS); salmonelose avi ria, elaborada com cepa 9R; c lera de aves, inativadas"
30024280;Vacinas combinadas contra as enfermidades citadas no item 3002.42.70
30024290;Outras
300249;-- Outros
30024910;Antitoxinas de origem microbiana
30024920;Tuberculinas
3002499;Outros
30024991;Para a sa de animal
30024992;Para a sa de humana
30024994;Ricina
30024999;Outros
30025;- Culturas de c lulas, mesmo modificadas:
30025100;-- Produtos de terapia celular
30025900;-- Outras
30029000;- Outros
3003;Medicamentos (exceto os produtos das posi  es 30.02, 30.05 ou 30.06) constitu dos por produtos misturados entre si, preparados para fins terap uticos ou profil ticos, mas n o apresentados em doses nem acondicionados para venda a retalho.
300310;- Que contenham penicilinas ou seus derivados, com a estrutura do  cido penicil nico, ou estreptomicinas ou seus derivados
3003101;Que contenham penicilinas ou seus derivados, com a estrutura do  cido penicil nico
30031011;Ampicilina ou seus sais
30031012;Amoxicilina ou seus sais
30031013;Penicilina G benzat nica
30031014;Penicilina G pot ssica
30031015;Penicilina G proca nica
30031019;Outros
30031020;Que contenham estreptomicinas ou seus derivados
300320;- Outros, que contenham antibi ticos
3003201;Que contenham anfenic is ou seus derivados
30032011;Cloranfenicol, seu palmitato, seu succinato ou seu hemissuccinato
30032019;Outros
3003202;Que contenham macrol dios ou seus derivados
30032021;Eritromicina ou seus sais
30032029;Outros
3003203;Que contenham ansamicinas ou seus derivados
30032031;Rifamicina SV s dica
30032032;Rifampicina
30032039;Outros
3003204;Que contenham lincosamidas ou seus derivados
30032041;Cloridrato de lincomicina
30032049;Outros
3003205;Que contenham cefalosporinas, cefamicinas ou derivados destes produtos
30032051;Cefalotina s dica
30032052;Cefaclor ou cefalexina monoidratados
30032059;Outros
3003206;Que contenham aminoglucos dios ou seus derivados
30032061;Sulfato de gentamicina
30032062;Daunorubicina
30032063;"Idarubicina; pirarubicina"
30032069;Outros
3003207;Que contenham polipept dios ou seus derivados
30032071;Vancomicina
30032072;Actinomicinas
30032073;Ciclosporina A
30032079;Outros
3003209;Outros
30032091;Mitomicina
30032092;Fumarato de tiamulina
30032093;Bleomicinas ou seus sais
30032094;Imipenem
30032095;Anfotericina B em lipossomas
30032099;Outros
30033;- Outros, que contenham horm nios ou outros produtos da posi  o 29.37:
30033100;-- Que contenham insulina
300339;-- Outros
3003391;"Que contenham os seguintes horm nios polipept dicos ou proteicos: buserelina ou seu acetato; corticotropina (ACTH); gonadotropina cori nica (hCG); gonadotropina s rica (PMSG); leuprolida ou seu acetato; menotropinas; somatostatina ou seus sais; somatotropina; triptorelina ou seus sais"
30033911;Somatotropina
30033912;Gonadotropina cori nica (hCG)
30033913;Menotropinas
30033914;Corticotropina (ACTH)
30033915;Gonadotropina s rica (PMSG)
30033916;Somatostatina ou seus sais
30033917;Buserelina ou seu acetato
30033918;Triptorelina ou seus sais
30033919;Leuprolida ou seu acetato
3003392;Que contenham outros horm nios polipept dicos ou proteicos, seus derivados ou an logos estruturais, mas que n o contenham produtos do item 3003.39.1
30033921;LH-RH (gonadorelina)
30033922;Oxitocina
30033923;Sais de insulina
30033924;Timosinas
30033925;Octreotida
30033926;Goserelina ou seu acetato
30033927;Nafarelina ou seu acetato
30033929;Outros
3003393;Que contenham estrog nios ou progestog nios, seus derivados ou an logos estruturais
30033931;Hemissuccinato de estradiol
30033932;Fempropionato de estradiol
30033933;Estriol ou seu succinato
30033934;Alilestrenol
30033935;Linestrenol
30033936;"Acetato de megestrol; formestano; fulvestranto"
30033937;Desogestrel
30033939;Outros
3003398;"Levotiroxina s dica; liotironina s dica"
30033981;Levotiroxina s dica
30033982;Liotironina s dica
3003399;Outros
30033991;Sal s dico ou  ster met lico do  cido 9,11,15-triidroxi-16-(3-clorofenoxi)prosta-5,13-dien-1-oico (derivado da prostaglandina F2-alfa)
30033992;Tiratricol (triac) ou seu sal s dico
30033994;Espironolactona
30033995;Exemestano
30033999;Outros
30034;- Outros, que contenham alcaloides ou seus derivados:
30034100;-- Que contenham efedrina ou seus sais
30034200;-- Que contenham pseudoefedrina (DCI) ou seus sais
30034300;-- Que contenham norefedrina ou seus sais
300349;-- Outros
30034910;"Vimblastina; vincristina; derivados destes produtos; topotecan ou seu cloridrato"
30034920;Pilocarpina, seu nitrato ou seu cloridrato
30034930;Metanossulfonato de di-hidroergocristina
30034940;Code na ou seus sais
30034950;"Granisetron; tropisetrona ou seu cloridrato"
30034990;Outros
30036000;- Outros, que contenham princ pios ativos antimal ricos (antipal dicos) descritos na Nota de subposi  es 2 do presente Cap tulo
300390;- Outros
3003901;Que contenham vitaminas ou outros produtos da posi  o 29.36
30039011;Folinato de c lcio (leucovorina)
30039012;Nicotinamida
30039013;"Hidroxocobalamina ou seus sais; cianocobalamina"
30039014;Vitamina A1 (retinol) ou seus derivados, exceto o  cido retinoico (tretino na)
30039015;"D-Pantotenato de c lcio; vitamina D3 (colecalciferol)"
30039016;steres das vitaminas A e D3, em concentra  o igual ou superior a 1.500.000 UI/g de vitamina A e igual ou superior a 50.000 UI/g de vitamina D3
30039017;cido retinoico (tretino na)
30039019;Outros
3003902;Que contenham enzimas mas que n o contenham vitaminas nem outros produtos da posi  o 29.36
30039021;Estreptoquinase
30039022;L-Asparaginase
30039023;Deoxirribonuclease
30039024;Idursulfase
30039025;"alfa-Agalsidase; alfavelaglicerase"
30039029;Outros
3003903;Que contenham produtos das posi  es 29.16 a 29.20, mas que n o contenham produtos dos itens 3003.90.1 e 3003.90.2
30039031;"Permetrina; nitrato de propatila; benzoato de benzila; dioctilsulfossuccinato de s dio"
30039032;"cido c lico;  cido deoxic lico; sal magn sico do  cido deidroc lico"
30039033;cido gluc nico, seus sais ou seus  steres
30039034;"cido o-acetilsalic lico; o-acetilsalicilato de alum nio; salicilato de metila; diclorv s"
30039035;Lactofosfato de c lcio
30039036;"cido l ctico, seus sais ou seus  steres;  cido 4-(4-hidroxifenoxi)-3,5-di-iodofenilac tico"
30039037;cido fum rico, seus sais ou seus  steres
30039038;"Etretinato; fosfestrol ou seus sais de di ou tetrass dio"
30039039;Outros
3003904;Que contenham produtos das posi  es 29.21 e 29.22, mas que n o contenham produtos dos itens 3003.90.1 a 3003.90.3
30039041;"Sulfato de tranilcipromina; dietilpropiona"
30039042;Cloridrato de ketamina
30039043;Clembuterol ou seu cloridrato
30039044;Tamoxifen ou seu citrato
30039045;"Levodopa; alfa-metildopa"
30039046;"Cloridrato de fenilefrina; mirteca na; propranolol ou seus sais"
30039047;"Diclofenaco de s dio; diclofenaco de pot ssio; diclofenaco de dietilam nio"
30039048;"Clorambucil; clormetina (DCI) ou seu cloridrato; melfalano; toremifene ou seu citrato"
30039049;Outros
3003905;Que contenham produtos das posi  es 29.24 a 29.26, mas que n o contenham produtos dos itens 3003.90.1 a 3003.90.4
30039051;"Metoclopramida ou seu cloridrato; closantel"
30039052;"Atenolol; priloca na ou seu cloridrato; talidomida"
30039053;"Lidoca na ou seu cloridrato; flutamida"
30039054;Femproporex
30039055;"Paracetamol; bromoprida"
30039056;"Amitraz; cipermetrina"
30039057;"Clorexidina ou seus sais; isetionato de pentamidina"
30039058;"Aminoglutetimida; carmustina; deferoxamina (desferrioxamina B) ou seus sais, derivados destes produtos; lomustina"
30039059;Outros
3003906;Que contenham produtos das posi  es 29.30 a 29.32, mas que n o contenham produtos dos itens 3003.90.1 a 3003.90.5
30039061;Quercetina
30039062;Tiaprida
30039063;Etidronato diss dico
30039064;Cloridrato de amiodarona
30039065;"Nitrovin; moxidectina"
30039066;"cido clodr nico ou seu sal diss dico; estreptozocina; fotemustina"
30039067;"Carbociste na; sulfiram"
30039069;Outros
3003907;Que contenham produtos da posi  o 29.33, mas que n o contenham produtos dos itens 3003.90.1 a 3003.90.6
30039071;"Terfenadina; talniflumato; malato  cido de cleboprida; econazol ou seu nitrato; nitrato de isoconazol; flubendazol; cloridrato de mepivaca na; trimetoprima; cloridrato de bupivaca na"
30039072;"Cloridrato de loperamida; fembendazol; ketorolac trometamina; nifedipina; nimodipina; nitrendipina"
30039073;"Albendazol ou seu sulf xido; mebendazol; 6-mercaptopurina; metilsulfato de amez nio; oxifendazol; praziquantel"
30039074;"Alprazolam; bromazepam; clordiazep xido; cloridrato de petidina; diazepam; droperidol; mazindol; triazolam"
30039075;"Benzetimida ou seu cloridrato; fenito na ou seu sal s dico; isoniazida; pirazinamida"
30039076;"cido 2-(2-metil-3-cloroanilina)nicot nico ou seu sal de lisina; metronidazol ou seus sais; azatioprina; nitrato de miconazol"
30039077;"Enrofloxacina; maleato de enalapril; maleato de pirilamina; nicarbazina; norfloxacina; sais de piperazina"
30039078;"Altretamina; bortezomib; cloridrato de erlotinibe; dacarbazina; disoproxilfumarato de tenofovir; enfuvirtida; fluspirileno; letrozol; lopinavir; mesilato de imatinib; nelfinavir ou seu mesilato; nevirapine; pemetrexed; saquinavir; sulfato de abacavir; sulfato de atazanavir; sulfato de indinavir; temozolomida; tioguanina; tiopental s dico; tosilato de niraparibe; trietilenotiofosforamida; trimetrexato; uracil e tegafur; verteporfin"
30039079;Outros
3003908;Que contenham produtos das posi  es 29.34, 29.35 e 29.38, mas que n o contenham produtos dos itens 3003.90.1 a 3003.90.7
30039081;"Levamisol ou seus sais; tetramisol"
30039082;"Sulfadiazina ou seu sal s dico; sulfametoxazol"
30039083;"Cloxazolam; ketazolam; piroxicam; tenoxicam"
30039084;"Ftalilsulfatiazol; inosina"
30039085;"Enantato de flufenazina; prometazina; gliburida; rutos dio; deslanos dio"
30039086;"Clortalidona; furosemida"
30039087;"Cloridrato de tizanidina; cetoconazol; furazolidona"
30039088;"Amprenavir; aprepitanto; delavirdina ou seu mesilato; efavirenz; emtricitabina; etop sido; everolimus; fosamprenavir c lcico; fosfato de fludarabina; gencitabina ou seu cloridrato; mesilato de dabrafenibe; raltitrexida; ritonavir; sirolimus; tacrolimus; temsirolimus; tenip sido; tipranavir"
30039089;Outros
3003909;Outros
30039091;Extrato de p len
30039092;"Crisarobina; disofenol"
30039093;Diclofenaco resinato
30039094;Silimarina
30039095;"Bussulfano; dexormaplatina; dietilestilbestrol ou seu dipropionato; enloplatina; iproplatina; lobaplatina; miboplatina; miltefosina; mitotano; ormaplatina; procarbazina ou seu cloridrato; propofol; sebriplatina; zeniplatina"
30039096;Complexo de ferro dextrana
30039097;Sevoflurano
30039099;Outros
3004;Medicamentos (exceto os produtos das posi  es 30.02, 30.05 ou 30.06) constitu dos por produtos misturados ou n o misturados, preparados para fins terap uticos ou profil ticos, apresentados em doses (incluindo os destinados a serem administrados por via percut nea) ou acondicionados para venda a retalho.
300410;- Que contenham penicilinas ou seus derivados, com estrutura do  cido penicil nico, ou estreptomicinas ou seus derivados
3004101;Que contenham penicilinas ou seus derivados, com estrutura do  cido penicil nico
30041011;Ampicilina ou seus sais
30041012;Amoxicilina ou seus sais
30041013;Penicilina G benzat nica
30041014;Penicilina G pot ssica
30041015;Penicilina G proca nica
30041019;Outros
30041020;Que contenham estreptomicinas ou seus derivados
300420;- Outros, que contenham antibi ticos
3004201;Que contenham anfenic is ou seus sais
30042011;Cloranfenicol, seu palmitato, seu succinato ou seu hemissuccinato
30042019;Outros
3004202;Que contenham macrol dios ou seus derivados
30042021;Eritromicina ou seus sais
30042029;Outros
3004203;Que contenham ansamicinas ou seus derivados
30042031;Rifamicina SV s dica
30042032;Rifampicina
30042039;Outros
3004204;Que contenham lincosamidas ou seus derivados
30042041;Cloridrato de lincomicina
30042049;Outros
3004205;Que contenham cefalosporinas, cefamicinas ou derivados destes produtos
30042051;Cefalotina s dica
30042052;Cefaclor ou cefalexina monoidratados
30042059;Outros
3004206;Que contenham aminoglucos dios ou seus derivados
30042061;Sulfato de gentamicina
30042062;Daunorubicina
30042063;"Idarubicina; pirarubicina"
30042069;Outros
3004207;Que contenham polipept dios ou seus derivados
30042071;Vancomicina
30042072;Actinomicinas
30042073;Ciclosporina A
30042079;Outros
3004209;Outros
30042091;Mitomicina
30042092;Fumarato de tiamulina
30042093;Bleomicinas ou seus sais
30042094;Imipenem
30042095;Anfotericina B em lipossomas
30042099;Outros
30043;- Outros, que contenham horm nios ou outros produtos da posi  o 29.37:
30043100;-- Que contenham insulina
300432;-- Que contenham horm nios corticosteroides, seus derivados ou an logos estruturais
30043210;Horm nios corticosteroides
30043220;Espironolactona
30043290;Outros
300439;-- Outros
3004391;"Que contenham os seguintes horm nios polipept dicos ou proteicos: buserelina ou seu acetato; corticotropina (ACTH); gonadotropina cori nica (hCG); gonadotropina s rica (PMSG); leuprolida ou seu acetato; menotropinas; somatostatina ou seus sais; somatotropina; triptorelina ou seus sais"
30043911;Somatotropina
30043912;Gonadotropina cori nica (hCG)
30043913;Menotropinas
30043914;Corticotropina (ACTH)
30043915;Gonadotropina s rica (PMSG)
30043916;Somatostatina ou seus sais
30043917;Buserelina ou seu acetato
30043918;Triptorelina ou seus sais
30043919;Leuprolida ou seu acetato
3004392;Que contenham outros horm nios polipept dicos ou proteicos, seus derivados ou an logos estruturais, mas que n o contenham produtos do item 3004.39.1
30043921;LH-RH (gonadorelina)
30043922;Oxitocina
30043923;Sais de insulina
30043924;Timosinas
30043925;Calcitonina
30043926;Octreotida
30043927;Goserelina ou seu acetato
30043928;Nafarelina ou seu acetato
30043929;Outros
3004393;Que contenham estrog nios ou progestog nios, seus derivados ou an logos estruturais
30043931;Hemissuccinato de estradiol
30043932;Fempropionato de estradiol
30043933;Estriol ou seu succinato
30043934;Alilestrenol
30043935;Linestrenol
30043936;"Acetato de megestrol; formestano; fulvestranto"
30043937;Desogestrel
30043939;Outros
3004398;"Levotiroxina s dica; liotironina s dica"
30043981;Levotiroxina s dica
30043982;Liotironina s dica
3004399;Outros
30043991;Sal s dico ou  ster met lico do  cido 9,11,15-triidroxi-16-(3-clorofenoxi)prosta-5,13-dien-1-oico (derivado da prostaglandina F2-alfa)
30043992;Tiratricol (triac) ou seu sal s dico
30043994;Exemestano
30043999;Outros
30044;- Outros, que contenham alcaloides ou seus derivados:
30044100;-- Que contenham efedrina ou seus sais
30044200;-- Que contenham pseudoefedrina (DCI) ou seus sais
30044300;-- Que contenham norefedrina ou seus sais
300449;-- Outros
30044910;"Vimblastina; vincristina; derivados destes produtos; topotecan ou seu cloridrato"
30044920;Pilocarpina, seu nitrato ou seu cloridrato
30044930;Metanossulfonato de di-hidroergocristina
30044940;Code na ou seus sais
30044950;"Granisetron; tropisetrona ou seu cloridrato"
30044990;Outros
300450;- Outros, que contenham vitaminas ou outros produtos da posi  o 29.36
30045010;Folinato de c lcio (leucovorina)
30045020;Nicotinamida
30045030;"Hidroxocobalamina ou seus sais; cianocobalamina"
30045040;Vitamina A1 (retinol) ou seus derivados, exceto o  cido retinoico (tretino na)
30045050;"D-Pantotenato de c lcio; vitamina D3 (colecalciferol)"
30045060;cido retinoico (tretino na)
30045090;Outros
30046000;- Outros, que contenham princ pios ativos antimal ricos (antipal dicos) descritos na Nota de subposi  es 2 do presente Cap tulo
300490;- Outros
3004901;Que contenham enzimas
30049011;Estreptoquinase
30049012;L-Asparaginase
30049013;Deoxirribonuclease
30049014;Idursulfase
30049015;"alfa-Agalsidase; alfavelaglicerase"
30049019;Outros
3004902;Que contenham produtos das posi  es 29.16 a 29.20, mas que n o contenham produtos do item 3004.90.1
30049021;"Permetrina; nitrato de propatila; benzoato de benzila; dioctilsulfossuccinato de s dio"
30049022;"cido c lico;  cido deoxic lico; sal magn sico do  cido deidroc lico"
30049023;cido gluc nico, seus sais ou seus  steres
30049024;"cido o-acetilsalic lico; o-acetilsalicilato de alum nio; salicilato de metila; diclorv s"
30049025;Lactofosfato de c lcio
30049026;"cido l ctico, seus sais ou seus  steres;  cido 4-(4-hidroxifenoxi)-3,5-di-iodofenilac tico;  cido fum rico, seus sais ou seus  steres"
30049027;Nitroglicerina, destinada a ser administrada por via percut nea
30049028;"Etretinato; fosfestrol ou seus sais de di ou tetrass dio"
30049029;Outros
3004903;Que contenham produtos das posi  es 29.21 e 29.22, mas que n o contenham produtos dos itens 3004.90.1 e 3004.90.2
30049031;"Sulfato de tranilcipromina; dietilpropiona"
30049032;Cloridrato de ketamina
30049033;Clembuterol ou seu cloridrato
30049034;Tamoxifen ou seu citrato
30049035;"Levodopa; alfa-metildopa"
30049036;"Cloridrato de fenilefrina; mirteca na; propranolol ou seus sais"
30049037;"Diclofenaco de s dio; diclofenaco de pot ssio; diclofenaco de dietilam nio"
30049038;"Clorambucil; clormetina (DCI) ou seu cloridrato; melfalano; toremifene ou seu citrato"
30049039;Outros
3004904;Que contenham produtos das posi  es 29.24 a 29.26, mas que n o contenham produtos dos itens 3004.90.1 a 3004.90.3
30049041;"Metoclopramida ou seu cloridrato; closantel"
30049042;"Atenolol; priloca na ou seu cloridrato; talidomida"
30049043;"Lidoca na ou seu cloridrato; flutamida"
30049044;Femproporex
30049045;"Paracetamol; bromoprida"
30049046;"Amitraz; cipermetrina"
30049047;"Clorexidina ou seus sais; isetionato de pentamidina"
30049048;"Aminoglutetimida; carmustina; deferoxamina (desferrioxamina B) ou seus sais, derivados destes produtos; lomustina"
30049049;Outros
3004905;Que contenham produtos das posi  es 29.30 a 29.32, mas que n o contenham produtos dos itens 3004.90.1 a 3004.90.4
30049051;Quercetina
30049052;Tiaprida
30049053;Etidronato diss dico
30049054;Cloridrato de amiodarona
30049055;"Nitrovin; moxidectina"
30049057;"Carbociste na; sulfiram"
30049058;"cido clodr nico ou seu sal diss dico; estreptozocina; fotemustina"
30049059;Outros
3004906;Que contenham produtos da posi  o 29.33, mas que n o contenham produtos dos itens 3004.90.1 a 3004.90.5
30049061;"Terfenadina; talniflumato; malato  cido de cleboprida; econazol ou seu nitrato; nitrato de isoconazol; flubendazol; cloridrato de mepivaca na; trimetoprima; cloridrato de bupivaca na"
30049062;"Cloridrato de loperamida; fembendazol; ketorolac trometamina; nifedipina nimodipina; nitrendipina"
